,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Monta Ellis\ellismo01,44:01,7,11,.636,1,2,.500,4,4,1.000,0,7,7,7,3,0,3,3,19,+24
Paul George\georgpa01,42:46,7,14,.500,4,5,.800,7,8,.875,0,8,8,6,0,0,2,2,25,+24
Myles Turner\turnemy01,37:29,13,19,.684,1,2,.500,3,5,.600,6,10,16,1,2,4,2,4,30,+25
Jeff Teague\teaguje01,36:45,5,15,.333,0,3,.000,10,13,.769,0,2,2,8,3,0,3,4,20,-4
Thaddeus Young\youngth01,34:13,5,10,.500,1,1,1.000,0,0,,0,5,5,4,1,0,2,6,11,+9
Rodney Stuckey\stuckro01,21:54,3,6,.500,1,2,.500,1,3,.333,0,3,3,1,0,0,2,0,8,-8
C.J. Miles\milescj01,12:33,3,6,.500,2,3,.667,0,0,,0,0,0,1,2,0,0,1,8,-3
Al Jefferson\jeffeal01,10:54,3,6,.500,0,0,,1,1,1.000,1,5,6,0,0,1,1,1,7,-3
Lavoy Allen\allenla01,10:44,1,3,.333,0,0,,0,0,,1,4,5,2,0,1,0,1,2,-5
Glenn Robinson\robingl02,10:14,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-15
Joe Young\youngjo01,3:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Aaron Brooks\brookaa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kevin Seraphin\serapke01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,47,93,.505,10,19,.526,26,34,.765,8,44,52,30,11,6,16,23,130,
