,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Pau Gasol\gasolpa01,31:08,.530,.528,.111,.111,10.5,34.3,21.2,20.0,0.0,5.1,0.0,26.8,126,102
Kawhi Leonard\leonaka01,29:49,.634,.531,.188,.750,0.0,8.9,4.0,40.0,1.7,2.7,15.8,37.5,121,105
David Lee\leeda02,24:39,.508,.429,.000,.286,17.7,37.9,26.8,0.0,2.1,0.0,0.0,14.2,132,102
Tony Parker\parketo01,22:02,.375,.375,.250,.000,0.0,12.1,5.4,25.0,0.0,3.6,42.9,14.1,69,107
Kyle Anderson\anderky01,20:07,.833,.833,.333,.000,0.0,6.6,3.0,7.4,0.0,0.0,40.0,11.0,94,111
Manu Ginobili\ginobma01,27:30,.250,.250,.125,.000,7.9,19.4,13.1,10.4,3.7,0.0,38.5,20.9,50,101
Patty Mills\millspa02,25:07,.827,.800,.600,.200,0.0,0.0,0.0,0.0,0.0,0.0,8.4,20.9,149,112
Jonathon Simmons\simmojo02,25:04,.338,.250,.125,.250,0.0,10.6,4.8,17.3,0.0,0.0,0.0,15.7,98,111
Davis Bertans\bertada01,17:18,1.000,1.000,1.000,.000,6.3,0.0,3.5,0.0,0.0,4.6,0.0,7.7,200,108
Dewayne Dedmon\dedmode01,16:25,.589,.400,.000,1.200,26.6,32.5,29.2,9.4,0.0,0.0,0.0,20.6,152,106
Nicolas Laprovittola\laproni01,0:51,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108
Bryn Forbes\forbebr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dejounte Murray\murrade01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.567,.512,.220,.317,31.8,83.3,55.0,54.1,4.3,8.3,13.8,100.0,113.5,106.0
